Date,Confirmed,Recovered,Deaths
01/22/2020,2,0,0
01/23/2020,2,0,0
01/24/2020,2,0,0
01/25/2020,2,0,0
01/26/2020,4,1,0
01/27/2020,4,1,0
01/28/2020,7,1,0
01/29/2020,7,1,0
01/30/2020,11,1,0
01/31/2020,15,1,0
02/01/2020,20,1,0
02/02/2020,20,1,0
02/03/2020,20,1,0
02/04/2020,22,1,0
02/05/2020,22,1,0
02/06/2020,22,1,0
02/07/2020,25,1,0
02/08/2020,25,1,0
02/09/2020,26,1,0
02/10/2020,26,4,0
02/11/2020,26,9,0
02/12/2020,28,9,0
02/13/2020,28,9,1
02/14/2020,29,9,1
02/15/2020,43,12,1
02/16/2020,59,12,1
02/17/2020,66,12,1
02/18/2020,74,13,1
02/19/2020,84,18,1
02/20/2020,94,18,1
02/21/2020,105,22,1
02/22/2020,122,22,1
02/23/2020,147,22,1
02/24/2020,159,22,1
02/25/2020,170,22,1
02/26/2020,189,22,2
02/27/2020,214,22,4
02/28/2020,228,22,4
02/29/2020,241,32,5
03/01/2020,256,32,6
03/02/2020,274,32,6
03/03/2020,293,43,6
03/04/2020,331,43,6
03/05/2020,360,43,6
03/06/2020,420,46,6
03/07/2020,461,76,6
03/08/2020,502,76,6
03/09/2020,511,76,10
03/10/2020,581,101,10
03/11/2020,639,118,15
03/12/2020,639,118,16
03/13/2020,701,118,19
03/14/2020,773,118,22
03/15/2020,839,118,22
03/16/2020,839,144,27
03/17/2020,878,144,29
03/18/2020,889,144,29
03/19/2020,924,150,29
03/20/2020,963,191,33
03/21/2020,1007,232,35
03/22/2020,1101,235,41
03/23/2020,1128,235,42
03/24/2020,1193,285,43
03/25/2020,1307,310,45
03/26/2020,1387,359,47
03/27/2020,1468,372,49
03/28/2020,1693,404,52
03/29/2020,1866,424,54
03/30/2020,1866,424,54
03/31/2020,1953,424,56
04/01/2020,2178,472,57
04/02/2020,2495,472,62
04/03/2020,2617,514,63
04/04/2020,3139,514,77
04/05/2020,3139,514,77
04/06/2020,3654,575,85
04/07/2020,3906,592,92
04/08/2020,4257,622,93
04/09/2020,4667,632,94
04/10/2020,5530,685,99
04/11/2020,6005,762,99
04/12/2020,6748,762,108
04/13/2020,7370,784,123
04/14/2020,7645,799,143
04/15/2020,8100,853,146
04/16/2020,8626,901,178
04/17/2020,9787,935,190
04/18/2020,10296,1069,222
04/19/2020,10797,1159,236
04/20/2020,10797,1159,236
04/21/2020,11135,1239,263
04/22/2020,11512,1356,281
04/23/2020,12368,1494,328
04/24/2020,12829,1530,345
04/25/2020,13231,1656,360
04/26/2020,13441,1809,372
04/27/2020,14153,1899,385
04/28/2020,13736,1899,394
04/29/2020,13895,2368,413
04/30/2020,14088,2460,430
05/01/2020,14305,2975,455
05/02/2020,14571,3205,474
05/03/2020,14877,3981,487
05/04/2020,15078,4156,536
05/05/2020,15253,4496,556
05/06/2020,15253,4496,556
05/07/2020,15477,4918,577
05/08/2020,15575,5146,590
05/09/2020,15663,5906,607
05/10/2020,15777,8127,624
05/11/2020,15847,8293,633
05/12/2020,15968,8531,657
05/13/2020,16049,8920,678
05/14/2020,16120,9868,697
05/15/2020,16203,10338,713
05/16/2020,16237,10338,725
05/17/2020,16285,11153,744
05/18/2020,16305,11564,749
05/19/2020,16367,11564,768
05/20/2020,16367,11564,768
05/21/2020,16424,12672,777
05/22/2020,16513,13005,796
05/23/2020,16536,13244,808
05/24/2020,16550,13413,820
05/25/2020,16581,13612,830
05/26/2020,16623,13810,846
